count,timestamp,S,D,F,J,K,L,char,dummy,matched,pre-delta,post-delta,elapsed,dS,dD,dF,dJ,dK,dL,Hamming D.,Pressed Keys
130,1391409515364 ,1,1,0,0,0,0,,0,0,8 ,63 ,232 ,0,0,0,1,1,1,3,2
131,1391409515427 ,0,1,0,0,0,0,Ç¡,0,0,63 ,9 ,295 ,1,0,0,1,1,1,4,1
132,1391409515436 ,0,0,0,0,0,0,,0,0,9 ,2064 ,304 ,1,1,0,1,1,1,5,0
133,1391409517500 ,0,0,0,1,0,0,,0,0,2064 ,7 ,2368 ,1,1,0,0,1,1,4,1
134,1391409517507 ,0,1,0,1,0,0,Ç®,0,0,7 ,9 ,2375 ,1,0,0,0,1,1,3,2
135,1391409517516 ,1,1,0,1,0,0,ÇÃ,0,1,9 ,184 ,2384 ,0,0,0,0,1,1,2,3
136,1391409517700 ,1,1,0,0,0,0,,0,0,184 ,0 ,184 ,0,0,0,1,0,0,1,2
137,1391409517700 ,1,0,0,0,0,0,ÇÌ,0,0,0 ,0 ,184 ,0,1,0,1,0,0,2,1
138,1391409517700 ,0,0,0,0,0,0,,0,0,0 ,2967 ,184 ,1,1,0,1,0,0,3,0
139,1391409520667 ,1,0,0,0,0,0,ÇÌ,0,0,2967 ,25 ,3151 ,0,1,0,1,0,0,2,1
140,1391409520692 ,1,1,0,0,0,0,,0,0,25 ,7 ,3176 ,0,0,0,1,0,0,1,2
141,1391409520699 ,1,1,0,1,0,0,ÇÃ,0,0,7 ,8 ,3183 ,0,0,0,0,0,0,0,3
142,1391409520707 ,1,1,0,1,1,0,Ç∆,0,0,8 ,177 ,3191 ,0,0,0,0,1,0,1,4
143,1391409520884 ,1,1,0,0,1,0,,0,0,177 ,7 ,3368 ,0,0,0,1,1,0,2,3
144,1391409520891 ,1,1,0,0,0,0,,0,0,7 ,8 ,3375 ,0,0,0,1,0,0,1,2
145,1391409520899 ,0,1,0,0,0,0,Ç¡,0,0,8 ,17 ,3383 ,1,0,0,1,0,0,2,1
146,1391409520916 ,0,0,0,0,0,0,,0,0,17 ,1007 ,3400 ,1,1,0,1,0,0,3,0
147,1391409521923 ,0,0,1,0,0,0,Ç†,0,0,1007 ,8 ,4407 ,1,1,1,1,0,0,4,1
148,1391409521931 ,0,0,1,1,0,0,Ç§,0,1,8 ,176 ,4415 ,1,1,1,0,0,0,3,2
149,1391409522107 ,0,0,1,0,0,0,Ç†,0,0,176 ,8 ,176 ,0,0,0,1,0,0,1,1
150,1391409522115 ,0,0,0,0,0,0,,0,0,8 ,464 ,184 ,0,0,1,1,0,0,2,0
151,1391409522579 ,0,0,1,0,0,0,Ç†,0,0,464 ,16 ,648 ,0,0,0,1,0,0,1,1
152,1391409522595 ,1,0,1,0,0,0,Ç»,0,0,16 ,8 ,664 ,1,0,0,1,0,0,2,2
153,1391409522603 ,1,1,1,0,0,0,Ç…,0,1,8 ,184 ,672 ,1,1,0,1,0,0,3,3
154,1391409522787 ,1,0,1,0,0,0,Ç»,0,0,184 ,8 ,184 ,0,1,0,0,0,0,1,2
155,1391409522795 ,1,0,0,0,0,0,ÇÌ,0,0,8 ,8 ,192 ,0,1,1,0,0,0,2,1
156,1391409522803 ,0,0,0,0,0,0,,0,0,8 ,552 ,200 ,1,1,1,0,0,0,3,0
157,1391409523355 ,0,1,0,0,0,0,Ç¡,0,0,552 ,16 ,752 ,1,0,1,0,0,0,2,1
158,1391409523371 ,0,1,0,1,0,0,Ç®,0,1,16 ,193 ,768 ,1,0,1,1,0,0,3,2
159,1391409523564 ,0,0,0,1,0,0,,0,0,193 ,7 ,193 ,0,1,0,0,0,0,1,1
160,1391409523571 ,0,0,0,0,0,0,,0,0,7 ,393 ,200 ,0,1,0,1,0,0,2,0
161,1391409523964 ,0,0,1,0,0,0,Ç†,0,0,393 ,16 ,593 ,0,1,1,1,0,0,3,1
162,1391409523980 ,1,0,1,0,0,0,Ç»,0,1,16 ,216 ,609 ,1,1,1,1,0,0,4,2
163,1391409524196 ,1,0,0,0,0,0,ÇÌ,0,0,216 ,24 ,216 ,0,0,1,0,0,0,1,1
164,1391409524220 ,0,0,0,0,0,0,,0,0,24 ,408 ,240 ,1,0,1,0,0,0,2,0
165,1391409524628 ,0,0,1,0,0,0,Ç†,0,0,408 ,32 ,648 ,1,0,0,0,0,0,1,1
166,1391409524660 ,0,0,1,0,0,1,Ç©,0,1,32 ,8 ,680 ,1,0,0,0,0,1,2,2
167,1391409524668 ,0,0,1,1,0,1,Ç≠,0,0,8 ,201 ,8 ,0,0,0,1,0,0,1,3
168,1391409524869 ,0,0,0,1,0,1,,0,0,201 ,31 ,209 ,0,0,1,1,0,0,2,2
169,1391409524900 ,0,0,0,1,0,0,,0,0,31 ,8 ,240 ,0,0,1,1,0,1,3,1
170,1391409524908 ,0,0,0,0,0,0,,0,0,8 ,1169 ,248 ,0,0,1,0,0,1,2,0
171,1391409526077 ,0,0,0,0,0,1,,0,0,1169 ,128 ,1417 ,0,0,1,0,0,0,1,1
172,1391409526205 ,0,0,0,0,0,0,,0,0,128 ,1200 ,1545 ,0,0,1,0,0,1,2,0
